rank,portal_id,company,jobs_url,host,ats_family,total_score,employer_value_score,likely_yield_score,shared_contract_score,observed_contract_score,cluster_records,observed_jobs,active_review_jobs,same_family_fallbacks,health_state,contract_evidence
165,294,Anduril,https://www.anduril.com/careers,www.anduril.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
166,298,Aqua Security,https://www.aquasec.com/careers/,www.aquasec.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
167,299,Arab Bank Australia,https://www.arabbank.com.au/about/careers,www.arabbank.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
168,302,ASML,https://www.asml.com/en/careers/find-your-job,www.asml.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
169,303,Assetinsure,https://www.assetinsure.com.au/careers/,www.assetinsure.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
170,306,Australian Military Bank,https://www.australianmilitarybank.com.au/careers,www.australianmilitarybank.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
171,307,Auswide Bank,https://www.auswidebank.com.au/about/careers/,www.auswidebank.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
172,309,Avenue Bank,https://www.avenuebank.com.au/careers/,www.avenuebank.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
173,310,Avio,https://www.avio.com/it/lavora-con-noi/,www.avio.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
174,312,Azimut,https://www.azimut.it/careers,www.azimut.it,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
175,313,Bain & Company,https://www.bain.com/careers/find-a-role/,www.bain.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
176,314,Banca Mediolanum,https://www.bancamediolanum.it/lavora-con-noi,www.bancamediolanum.it,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
177,386,Banca Monte dei Paschi di Siena,https://www.gruppomps.it/lavora-con-noi/,www.gruppomps.it,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
178,30,Banco Sabadell,https://careers.bancsabadell.com/,careers.bancsabadell.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,DEGRADED,public contract not yet observed
179,315,Bank Australia,https://www.bankaust.com.au/careers,www.bankaust.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
180,325,Bank of Queensland,https://www.boq.com.au/about-us/careers/,www.boq.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
181,316,Bank of Sydney,https://www.banksyd.com.au/careers,www.banksyd.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
182,317,BASF Antwerpen,https://www.basf.com/global/en/careers,www.basf.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
183,318,Beyond Bank Australia,https://www.beyondbank.com.au/careers/current-opportunities/,www.beyondbank.com.au,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
184,319,BeyondTrust,https://www.beyondtrust.com/company/overview/careers,www.beyondtrust.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
185,320,Bitdefender,https://www.bitdefender.com/en-us/company/careers,www.bitdefender.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
186,321,Blue Origin,https://www.blueorigin.com/careers,www.blueorigin.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
187,323,BNK Banking,https://www.bnk.com.au/about/jobs/,www.bnk.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
188,324,BNY Mellon,https://www.bny.com/corporate/global/en/about-us/careers/work-with-us.html,www.bny.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
189,327,Broadcom,https://www.broadcom.com/company/careers,www.broadcom.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
190,328,Bugcrowd,https://www.bugcrowd.com/about/careers/,www.bugcrowd.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
191,329,Buzzi,https://www.buzzi.com/career,www.buzzi.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
192,331,CaixaBank,https://www.caixabank.com/en/people.html,www.caixabank.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
193,336,Carrefour,https://www.carrefour.com/en/group/careers,www.carrefour.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
194,337,Cato Networks,https://www.catonetworks.com/careers/,www.catonetworks.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
195,338,Cequence Security,https://www.cequence.ai/careers/,www.cequence.ai,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
196,339,Checkout.com,https://www.checkout.com/careers/jobs,www.checkout.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
197,342,CME Group,https://www.cmegroup.com/careers.html,www.cmegroup.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
198,343,Coinbase,https://www.coinbase.com/careers/positions,www.coinbase.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
199,346,Commerzbank,https://www.commerzbank.de/group/careers/,www.commerzbank.de,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
200,347,Confluent,https://www.confluent.io/careers/,www.confluent.io,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
201,348,Coro,https://www.coro.net/careers,www.coro.net,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
202,349,Costco,https://www.costco.com/f/-/careers,www.costco.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
203,351,Cuscal,https://www.cuscal.com/about-us/job-opportunities/,www.cuscal.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
204,352,Cybereason,https://www.cybereason.com/company/careers,www.cybereason.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
205,353,Cyera,https://www.cyera.com/careers,www.cyera.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
206,354,Darktrace,https://www.darktrace.com/careers,www.darktrace.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
207,355,DBS Bank,https://www.dbs.com/careers/default.page,www.dbs.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
208,356,Deep Instinct,https://www.deepinstinct.com/careers,www.deepinstinct.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
209,194,Dell Technologies,https://jobs.dell.com/en/search-jobs,jobs.dell.com,Custom / branded jobs portal,27,7,0,9,11,1,0,0,9,HEALTHY,successful public response observed
210,357,DigiCert,https://www.digicert.com/careers,www.digicert.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
211,358,Dragos,https://www.dragos.com/careers/,www.dragos.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
212,359,Dropbox,https://www.dropbox.jobs/en/,www.dropbox.jobs,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
213,360,Druva,https://www.druva.com/why-druva/explore/careers,www.druva.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
214,363,Elastic,https://www.elastic.co/careers,www.elastic.co,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
215,361,Electronic Arts,https://www.ea.com/careers,www.ea.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
216,368,Epic Games,https://www.epicgames.com/site/careers/jobs?lang=en-US,www.epicgames.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
217,370,ESET,https://www.eset.com/int/about/careers/,www.eset.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
218,372,Fastly,https://www.fastly.com/about/careers,www.fastly.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
219,374,Forcepoint,https://www.forcepoint.com/company/work-with-us,www.forcepoint.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
220,376,Fortra,https://www.fortra.com/about,www.fortra.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
221,382,GitHub,https://www.github.careers/careers-home/jobs,www.github.careers,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
222,383,Glencore Australia,https://www.glencore.com.au/careers,www.glencore.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
223,388,HackerOne,https://www.hackerone.com/careers,www.hackerone.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
224,389,Hapag-Lloyd,https://www.hapag-lloyd.com/en/company/career.html,www.hapag-lloyd.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
225,391,HCLTech,https://www.hcltech.com/careers,www.hcltech.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
226,450,Heritage and People's Choice,https://www.peoplefirstbank.com.au/about-us/careers,www.peoplefirstbank.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
227,62,Hewlett Packard Enterprise,https://careers.hpe.com/us/en/search-results,careers.hpe.com,Custom / branded jobs portal,27,7,0,9,11,1,0,0,9,HEALTHY,successful public response observed
228,393,Hollard Insurance Company,https://www.hollard.com.au/about-hollard/careers-at-hollard,www.hollard.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
229,394,Iberdrola,https://www.iberdrola.com/careers/careers-iberdrola,www.iberdrola.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
230,397,Illumio,https://www.illumio.com/company/careers,www.illumio.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
231,398,Iluka Resources,https://www.iluka.com/careers/current-opportunities/,www.iluka.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
232,399,Inditex,https://www.inditexpeople.com/,www.inditexpeople.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
233,401,Infineon Technologies,https://www.infineon.com/careers,www.infineon.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
234,403,Inwit,https://www.inwit.it/en/people/careers/,www.inwit.it,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
235,404,Island,https://www.island.io/careers,www.island.io,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
236,405,Jamf,https://www.jamf.com/about/careers/jobs/,www.jamf.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
237,408,JupiterOne,https://www.jupiterone.com/careers,www.jupiterone.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
238,409,Klarna,https://www.klarna.com/careers/,www.klarna.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
239,246,KNDS,https://knds.com/en/careers,knds.com,Multiple / backend unverified,27,15,0,1,11,5,0,0,1,HEALTHY,successful public response observed
240,411,Kyndryl,https://www.kyndryl.com/us/en/careers,www.kyndryl.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
241,412,Legit Security,https://www.legitsecurity.com/careers,www.legitsecurity.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
242,414,Lloyds Banking Group,https://www.lloydsbankinggroup.com/careers/job-search.html,www.lloydsbankinggroup.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
243,416,London Stock Exchange Group,https://www.lseg.com/en/careers,www.lseg.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
244,417,Macquarie Bank,https://www.macquarie.com/au/en/careers.html,www.macquarie.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
245,418,Maersk,https://www.maersk.com/careers,www.maersk.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
246,73,Manulife,https://careers.manulife.com/global/en/search-results,careers.manulife.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,DEGRADED,public contract not yet observed
247,420,McKinsey & Company,https://www.mckinsey.com/careers/search-jobs,www.mckinsey.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
248,422,Medtronic,https://www.medtronic.com/en-us/our-company/careers.html,www.medtronic.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
249,423,Menlo Security,https://www.menlosecurity.com/about/life-at-menlo,www.menlosecurity.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
250,426,Moncler,https://www.monclergroup.com/en/careers,www.monclergroup.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
251,427,MongoDB,https://www.mongodb.com/company/careers,www.mongodb.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
252,429,MSC,https://www.msc.com/en/careers,www.msc.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
253,431,Nasdaq,https://www.nasdaq.com/about/careers,www.nasdaq.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
254,432,NAVAL GROUP,https://www.naval-group.com/en/talents,www.naval-group.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
255,433,NCC Group,https://www.nccgroupplc.com/careers/,www.nccgroupplc.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
256,434,Netskope,https://www.netskope.com/company/careers,www.netskope.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
257,436,NEXTDC,https://www.nextdc.com/careers,www.nextdc.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
258,444,NXP Semiconductors,https://www.nxp.com/company/about-nxp/careers:CAREERS,www.nxp.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
259,445,OCBC,https://www.ocbc.com/group/careers/index.page,www.ocbc.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
260,446,Okta,https://www.okta.com/company/careers/job-listing/,www.okta.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
261,449,Pacific International Insurance,https://www.pd.com.au/careers/,www.pd.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
262,448,Palantir Technologies,https://www.palantir.com/careers/,www.palantir.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
263,452,Polestar,https://www.polestar.com/global/about/careers/,www.polestar.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
264,453,Poste Italiane,https://www.posteitaliane.it/en/careers/work-with-us,www.posteitaliane.it,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
265,454,Protiviti,https://www.protiviti.com/us-en/careers,www.protiviti.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
266,85,Qantas,https://careers.qantas.com/,careers.qantas.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,DEGRADED,public contract not yet observed
267,456,Qualcomm,https://www.qualcomm.com/company/careers,www.qualcomm.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
268,457,Recorded Future,https://www.recordedfuture.com/work-with-us/jobs,www.recordedfuture.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
269,459,Repsol,https://www.repsol.com/en/careers/work-at-repsol/index.cshtml,www.repsol.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
270,91,Resmed,https://careers.resmed.com/,careers.resmed.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,DEGRADED,public contract not yet observed
271,462,Riot Games,https://www.riotgames.com/en/work-with-us,www.riotgames.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
272,464,Rockwell Automation,https://www.rockwellautomation.com/en-us/company/careers.html,www.rockwellautomation.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
273,465,Rubrik,https://www.rubrik.com/company/careers,www.rubrik.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
274,469,Saipem,https://www.saipem.com/en/people/careers,www.saipem.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
275,470,Sandfire Resources,https://www.sandfire.com.au/careers/,www.sandfire.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
276,473,SentinelOne,https://www.sentinelone.com/jobs/,www.sentinelone.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
277,474,Shopify,https://www.shopify.com/careers,www.shopify.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
278,476,Silverfort,https://www.silverfort.com/careers/,www.silverfort.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
279,477,SIX Group,https://www.six-group.com/en/careers.html,www.six-group.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
280,479,Sonatype,https://www.sonatype.com/company/careers,www.sonatype.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
281,475,Sony Interactive Entertainment,https://www.sie.com/en/careers/,www.sie.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
282,481,SpaceX,https://www.spacex.com/careers/,www.spacex.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
283,472,Standard Chartered,https://www.sc.com/en/global-careers/,www.sc.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
284,484,Starling Bank,https://www.starlingbank.com/careers/,www.starlingbank.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
285,106,State Street,https://careers.statestreet.com/global/en/search-results,careers.statestreet.com,Custom / branded jobs portal,27,7,0,9,11,1,0,0,9,HEALTHY,successful public response observed
286,483,STMicroelectronics,https://www.st.com/content/st_com/en/about/careers.html,www.st.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
287,486,Sun Life,https://www.sunlife.com/en/careers/,www.sunlife.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
288,487,Sysdig,https://www.sysdig.com/careers/open-positions,www.sysdig.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
289,488,Tanium,https://www.tanium.com/careers/,www.tanium.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
290,489,Tata Consultancy Services (Canada),https://www.tcs.com/careers,www.tcs.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
291,491,Telstra,https://www.telstra.com.au/careers,www.telstra.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
292,492,TELUS,https://www.telus.com/en/about/careers,www.telus.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
293,494,Tesco,https://www.tesco.com/careers/en-GB,www.tesco.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
294,497,Ubisoft,https://www.ubisoft.com/en-us/company/careers,www.ubisoft.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
295,499,Umicore,https://www.umicore.com/en/careers/,www.umicore.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
296,501,Unipol,https://www.unipol.com/it/persone/lavora-con-noi/job-posting,www.unipol.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
297,406,UPS,https://www.jobs-ups.com/,www.jobs-ups.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
298,502,Upwind Security,https://www.upwind.io/careers,www.upwind.io,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
299,504,Vectra AI,https://www.vectra.ai/about/careers,www.vectra.ai,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
300,505,Veracode,https://www.veracode.com/job-post/,www.veracode.com,Custom first-party job board,27,7,0,20,0,1,0,0,22,UNKNOWN,public contract not yet observed
301,284,Wayfair,https://www.aboutwayfair.com/careers,www.aboutwayfair.com,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
302,509,Zscaler,https://www.zscaler.com/careers/search,www.zscaler.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
303,61,HDI Global Specialty Australia,https://careers.hdi.group/en/your_career_opportunities/job_board,careers.hdi.group,HDI Group careers,26,7,2,1,16,1,10,0,1,HEALTHY,successful public response observed
304,13,BigID,https://bigid.com/company/careers/,bigid.com,Greenhouse embedded,26,7,1,2,16,1,7,0,2,HEALTHY,successful public response observed
305,56,FM Insurance Australia,https://careers.fm.com/careers-home,careers.fm.com,Custom / branded global jobs portal,26,7,0,3,16,1,1,0,3,HEALTHY,successful public response observed
306,350,Calit - Credit Agricole Leasing Italia,https://www.credit-agricole.com/en/candidate,www.credit-agricole.com,Multiple local/entity portals,26,25,0,1,0,10,0,0,1,UNKNOWN,public contract not yet observed
307,218,Merck &,https://jobs.merck.com/us/en/search-results,jobs.merck.com,Branded portal / backend unverified,26,13,0,2,11,4,0,0,2,HEALTHY,successful public response observed
308,83,Guild Insurance,https://careers.pageuppeople.com/939/cw/en/job/,careers.pageuppeople.com,PageUp,24,7,0,1,16,1,3,0,1,HEALTHY,successful public response observed
309,96,Salesforce,https://careers.salesforce.com/en/jobs/,careers.salesforce.com,Custom Salesforce Careers,24,7,0,1,16,1,1,0,1,HEALTHY,successful public response observed
310,461,American Rheinmetall Defense,https://www.rheinmetall.com/en/career/vacancies,www.rheinmetall.com,Custom corporate portal,24,23,0,1,0,9,0,0,1,UNKNOWN,public contract not yet observed
311,395,IBM,https://www.ibm.com/careers/search,www.ibm.com,Custom IBM Careers,24,23,0,1,0,9,0,0,1,UNKNOWN,public contract not yet observed
312,157,Goldman Sachs,https://higher.gs.com/,higher.gs.com,Custom Goldman Sachs portal,23,11,0,1,11,3,0,0,1,HEALTHY,successful public response observed
313,63,IAG New Zealand | Insurance Australia,https://careers.iag.com.au/global/en/search-results,careers.iag.com.au,IAG branded careers portal,23,11,0,1,11,3,0,0,1,HEALTHY,successful public response observed
314,291,Amazon,https://www.amazon.jobs/en/search,www.amazon.jobs,Custom Amazon Jobs,22,21,0,1,0,8,0,0,1,UNKNOWN,public contract not yet observed
315,175,Apple,https://jobs.apple.com/en-us/search,jobs.apple.com,Custom Apple Jobs,21,9,0,1,11,2,0,0,1,HEALTHY,successful public response observed
316,2,FinecoBank | FinecoBank Banca Fineco,https://about.finecobank.com/en/careers/diventa-un-dipendente/?carreersType=dipendente-consulente,about.finecobank.com,First-party embedded vacancies,21,9,0,1,11,2,0,0,1,HEALTHY,successful public response observed
317,221,Newmont Australia,https://jobs.newmont.com/us/en/search-results,jobs.newmont.com,Custom / branded global jobs portal,21,7,0,3,11,1,0,0,3,HEALTHY,successful public response observed
318,93,Roche,https://careers.roche.com/global/en/search-results,careers.roche.com,Workday employment system + branded frontend,21,9,0,1,11,2,0,0,1,HEALTHY,successful public response observed
319,276,Stripe,https://stripe.com/careers/search,stripe.com,Custom Stripe Careers,21,9,0,1,11,2,0,0,1,HEALTHY,successful public response observed
320,460,Revolut,https://www.revolut.com/careers/,www.revolut.com,Custom Revolut careers,20,19,0,1,0,7,0,0,1,UNKNOWN,public contract not yet observed
321,6,Aikido Security,https://aikidosecurity.recruitee.com/,aikidosecurity.recruitee.com,Recruitee,19,7,0,1,11,1,0,0,1,HEALTHY,successful public response observed
322,151,BPER Banca,https://group.bper.it/en/careers/lavora-con-noi,group.bper.it,Proprietary CV portal / backend unverified,19,7,0,1,11,1,0,0,1,HEALTHY,successful public response observed
323,222,Protect AI,https://jobs.paloaltonetworks.com/en/,jobs.paloaltonetworks.com,Palo Alto Networks Careers,19,7,0,1,11,1,0,0,1,HEALTHY,successful public response observed
324,275,Snyk,https://snyk.io/careers/all-jobs/,snyk.io,Custom / branded JS portal,19,7,0,1,11,1,0,0,1,HEALTHY,successful public response observed
325,377,Faurecia Automotive,https://www.forvia.com/en/careers,www.forvia.com,Multiple: Faurecia + HELLA,18,17,0,1,0,6,0,0,1,UNKNOWN,public contract not yet observed
326,442,NTT DATA,https://www.nttdata.com/global/en/careers,www.nttdata.com,Multiple local portals,18,15,0,3,0,5,0,0,3,UNKNOWN,public contract not yet observed
327,447,Oracle,https://www.oracle.com/careers/,www.oracle.com,Oracle-branded / backend not asserted,18,17,0,1,0,6,0,0,1,UNKNOWN,public contract not yet observed
328,292,American Express,https://www.americanexpress.com/en-us/careers/,www.americanexpress.com,Custom / branded jobs portal,16,7,0,9,0,1,0,0,9,UNKNOWN,public contract not yet observed
329,305,AT&T,https://www.att.jobs/search-jobs,www.att.jobs,Custom / branded jobs portal,16,7,0,9,0,1,0,0,9,UNKNOWN,public contract not yet observed
330,308,Autodesk,https://www.autodesk.com/careers/overview,www.autodesk.com,Custom / branded jobs portal,16,7,0,9,0,1,0,0,9,UNKNOWN,public contract not yet observed
331,443,NVIDIA,https://www.nvidia.com/en-us/about-nvidia/careers/,www.nvidia.com,Custom / branded jobs portal,16,7,0,9,0,1,0,0,9,UNKNOWN,public contract not yet observed
332,419,MBDA,https://www.mbda-systems.com/careers,www.mbda-systems.com,Multiple local portals,14,11,0,3,0,3,0,0,3,UNKNOWN,public contract not yet observed
