rank,portal_id,company,jobs_url,host,ats_family,total_score,employer_value_score,likely_yield_score,shared_contract_score,observed_contract_score,cluster_records,observed_jobs,active_review_jobs,same_family_fallbacks,health_state,contract_evidence
46,143,Infosys,https://digitalcareers.infosys.com/,digitalcareers.infosys.com,Custom / branded portal,40,9,0,20,11,2,0,0,76,HEALTHY,successful public response observed
47,250,Lufthansa | Lufthansa Technik,https://lufthansagroup.careers/en,lufthansagroup.careers,Custom / branded portal,40,9,0,20,11,2,0,0,76,HEALTHY,successful public response observed
48,375,Fortinet | Lacework,https://www.fortinet.com/corporate/careers,www.fortinet.com,Custom / branded portal,39,19,0,20,0,7,0,0,76,UNKNOWN,public contract not yet observed
49,410,Kongsberg Defence,https://www.kongsberg.com/careers/vacancies/,www.kongsberg.com,Custom / branded portal,39,19,0,20,0,7,0,0,76,UNKNOWN,public contract not yet observed
50,438,Nokia | Nokia Canada | Nokia Finland | Nokia Hungary | Nokia Solutions and Networks | Nokia Solutions and Networks Italia | Nokia Solutions and Networks Nederland,https://www.nokia.com/careers/,www.nokia.com,Custom / backend unverified,39,19,0,20,0,7,0,0,148,UNKNOWN,public contract not yet observed
51,1,Abnormal Security,https://abnormal.ai/careers/open-roles,abnormal.ai,Custom first-party job board,38,7,0,20,11,1,0,0,22,HEALTHY,successful public response observed
52,21,Adyen,https://careers.adyen.com/vacancies,careers.adyen.com,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
53,4,Aembit,https://aembit.io/careers/,aembit.io,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
54,135,Amplifon,https://corporate.amplifon.com/en/careers,corporate.amplifon.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
55,11,Anglo American Australia,https://australia.angloamerican.com/work-with-us,australia.angloamerican.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
56,10,Arctic Wolf,https://arcticwolf.com/company/careers/,arcticwolf.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
57,12,Avant Insurance,https://avant.org.au/careers-at-avant,avant.org.au,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
58,29,Aviva,https://careers.aviva.co.uk/,careers.aviva.co.uk,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
59,32,BBVA,https://careers.bbva.com/,careers.bbva.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
60,14,Blackpoint Cyber,https://blackpointcyber.com/company/careers/,blackpointcyber.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
61,15,Block,https://block.xyz/careers/jobs,block.xyz,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
62,37,Booz Allen Hamilton,https://careers.boozallen.com/jobs,careers.boozallen.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
63,33,Boston Consulting Group,https://careers.bcg.com/global/en/search-results,careers.bcg.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
64,40,CACI,https://careers.caci.com/global/en/search-results,careers.caci.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
65,264,Campari,https://people.camparigroup.com/global/it/home,people.camparigroup.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
66,133,Claroty,https://claroty.com/careers/,claroty.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
67,192,Danaher,https://jobs.danaher.com/global/en/search-results,jobs.danaher.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
68,44,Datadog,https://careers.datadoghq.com/all-jobs/,careers.datadoghq.com,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
69,142,Deutsche Bahn,https://db.jobs/en-en,db.jobs,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
70,47,Deutsche Börse,https://careers.deutsche-boerse.com/,careers.deutsche-boerse.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
71,112,Deutsche Telekom,https://careers.telekom.com/en,careers.telekom.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
72,48,DHL Group,https://careers.dhl.com/global/en/search-results,careers.dhl.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
73,199,eBay,https://jobs.ebayinc.com/us/en/search-results,jobs.ebayinc.com,Custom first-party job board,38,7,0,20,11,1,0,0,22,HEALTHY,successful public response observed
74,55,FIS,https://careers.fisglobal.com/us/en/search-results,careers.fisglobal.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
75,54,Fiserv,https://careers.fiserv.com/us/en/search-results,careers.fiserv.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
76,148,Flashpoint,https://flashpoint.io/about-us/careers/,flashpoint.io,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
77,58,GE Healthcare,https://careers.gehealthcare.com/global/en/search-results,careers.gehealthcare.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
78,205,Global Payments,https://jobs.globalpayments.com/jobs,jobs.globalpayments.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
79,16,H&M,https://career.hm.com/,career.hm.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
80,64,Intercontinental Exchange,https://careers.ice.com/,careers.ice.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
81,129,Italgas,https://carriere.italgas.it/,carriere.italgas.it,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
82,210,Johnson Controls,https://jobs.johnsoncontrols.com/,jobs.johnsoncontrols.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
83,211,KPN,https://jobs.kpn.com/en/,jobs.kpn.com,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
84,212,Kuehne+Nagel,https://jobs.kuehne-nagel.com/global/en/search-results,jobs.kuehne-nagel.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
85,249,Lucid Motors,https://lucidmotors.com/careers,lucidmotors.com,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
86,74,Marsh McLennan,https://careers.marsh.com/global/en/search-results,careers.marsh.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
87,252,Material Security,https://material.security/careers,material.security,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
88,253,MDA Space,https://mda.space/en/careers/,mda.space,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
89,254,Monzo,https://monzo.com/careers,monzo.com,Custom first-party portal,38,7,0,20,11,1,0,0,31,HEALTHY,successful public response observed
90,256,MyState Bank,https://mystate.com.au/about-us/careers/,mystate.com.au,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
91,75,Oliver Wyman,https://careers.marshmclennan.com/global/en/oliver-wyman,careers.marshmclennan.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
92,82,OVHcloud,https://careers.ovhcloud.com/,careers.ovhcloud.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
93,261,Panther Labs,https://panther.com/company/careers,panther.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
94,88,QTS Data Centers,https://careers.qtsdatacenters.com/us/en/search-results,careers.qtsdatacenters.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
95,139,Resilience,https://cyberresilience.com/careers/,cyberresilience.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
96,269,Salt Security,https://salt.security/careers,salt.security,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
97,272,Semgrep,https://semgrep.dev/about/careers/,semgrep.dev,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
98,98,Serco,https://careers.serco.com/gb/en/search-results,careers.serco.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
99,109,Stryker,https://careers.stryker.com/,careers.stryker.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
100,111,Take-Two Interactive,https://careers.take2games.com/jobs,careers.take2games.com,Custom first-party job board,38,7,0,20,11,1,0,0,22,HEALTHY,successful public response observed
101,136,Target,https://corporate.target.com/careers/job-search,corporate.target.com,Custom first-party job board,38,7,0,20,11,1,0,0,22,HEALTHY,successful public response observed
102,149,Teleport,https://goteleport.com/careers/,goteleport.com,Custom / backend unverified,38,7,0,20,11,1,0,0,148,HEALTHY,successful public response observed
103,120,Vodafone Romania,https://careers.vodafone.com/,careers.vodafone.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
104,121,Walmart,https://careers.walmart.com/,careers.walmart.com,Custom first-party job board,38,7,0,20,11,1,0,0,22,HEALTHY,successful public response observed
105,122,Warner Bros. Discovery,https://careers.wbd.com/global/en/search-results,careers.wbd.com,Custom / branded portal,38,7,0,20,11,1,0,0,76,HEALTHY,successful public response observed
106,326,Bosch,https://www.bosch.com/careers/,www.bosch.com,Custom / backend unverified,37,17,0,20,0,6,0,0,148,UNKNOWN,public contract not yet observed
107,468,Safran,https://www.safran-group.com/jobs,www.safran-group.com,Custom / backend unverified,37,17,0,20,0,6,0,0,148,UNKNOWN,public contract not yet observed
108,178,Atos,https://jobs.atos.net/,jobs.atos.net,Atos: SuccessFactors-style; Eviden: branded portal,35,23,0,1,11,9,0,0,1,HEALTHY,successful public response observed
109,421,Mediobanca | Mediobanca - Banca di Credito Finanziario | Mediobanca France | Mediobanca Premier | Mediobanca SGR,https://www.mediobanca.com/en/work-with-us/open-positions.html,www.mediobanca.com,Custom first-party job board,35,15,0,20,0,5,0,0,22,UNKNOWN,public contract not yet observed
110,187,Microsoft,https://jobs.careers.microsoft.com/global/en/search,jobs.careers.microsoft.com,Custom Microsoft Careers,35,23,0,1,11,9,0,0,1,HEALTHY,successful public response observed
111,191,AUMOVIO,https://jobs.continental.com/en/,jobs.continental.com,Continental + Aumovio first-party portals / backend unverified,33,21,0,1,11,8,0,0,1,HEALTHY,successful public response observed
112,400,"INDRA | Indra Group | Indra Space | SIA, an Indra company",https://www.indracompany.com/en/indra/employment,www.indracompany.com,Custom / backend unverified,33,13,0,20,0,4,0,0,148,UNKNOWN,public contract not yet observed
113,428,Morgan Stanley,https://www.morganstanley.com/people-opportunities/apply-contact,www.morganstanley.com,Custom / backend unverified,33,13,0,20,0,4,0,0,148,UNKNOWN,public contract not yet observed
114,440,Novartis,https://www.novartis.com/careers/career-search,www.novartis.com,Custom / branded portal,33,13,0,20,0,4,0,0,76,UNKNOWN,public contract not yet observed
115,490,Telenor | Telenor Cyberdefence | Telenor Danmark | Telenor Maritime (KNL),https://www.telenor.com/careers/,www.telenor.com,Custom / backend unverified,33,13,0,20,0,4,0,0,148,UNKNOWN,public contract not yet observed
116,113,Thiess,https://careers.thiess.com/jobs/search,careers.thiess.com,Custom / branded careers portal,32,7,3,6,16,1,16,0,6,HEALTHY,successful public response observed
117,24,Advanced Micro Devices,https://careers.amd.com/,careers.amd.com,Custom / branded jobs portal,32,7,0,9,16,1,1,0,9,HEALTHY,successful public response observed
118,186,Capgemini,https://jobs.capgemini.com/,jobs.capgemini.com,Branded portal / backend unverified,32,19,0,2,11,7,0,0,2,HEALTHY,successful public response observed
119,500,UniCredit,https://www.unicreditgroup.eu/en/careers.html,www.unicreditgroup.eu,Multiple local portals,32,29,0,3,0,12,0,0,3,UNKNOWN,public contract not yet observed
