rank,corporate_cluster_id,representative_employer,priority_score,employer_scale_score,cybersecurity_relevance_score,target_geography_score,early_career_probability_score,cluster_record_score,likely_ats_quality_score,legal_discovery_records,primary_scan_eligible,sectors,discovery_geographies,organization_types,score_rationale
49,CG-D2E108D544,Cyberstar,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
50,CG-3C6D85CC33,Dirks Defence & Security & . KG,78,12,20,15,15,5,11,1,True,Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
51,CG-A20F15B492,DNV Cyber,78,12,20,15,15,5,11,1,True,Defence / security / cyber / aerospace / dual-use,Sweden,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
52,CG-23BB58B0FA,EGIDA SECURITY SOLUTIONS d.o.o,78,12,20,15,15,5,11,1,True,Cybersecurity / ICT / critical infrastructure,Croatia,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
53,CG-EC9A970805,EPICOM,78,12,20,15,15,5,11,1,True,Cybersecurity vendors / services / integrators | Defence / security / aerospace / space / cybersecurity,Spain,Company,"regulated or mature-employer sector; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
54,CG-B9612B643C,FRANCE CYBER MARITIME,78,12,20,15,15,5,11,1,True,Maritime / naval / defence / security / cyber / industrial,France,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
55,CG-E04A0199FE,genua,78,12,20,15,15,5,11,1,True,Cybersecurity vendors / services / digital trust | Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
56,CG-6AC39C04D1,Heimdal Security,78,12,20,15,15,5,11,1,True,Technology / cybersecurity / finance / critical infrastructure,Romania,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
57,CG-AD0730520B,IDEMIA - National Security Solutions,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
58,CG-A24176378C,"International Institute For African Defense, Security and Governance",78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
59,CG-00629437B4,Into Security,78,12,20,15,15,5,11,1,True,Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
60,CG-0189C9341E,itWatch,78,12,20,15,15,5,11,1,True,Cybersecurity vendors / services / digital trust | Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
61,CG-59F0AD98E4,JK Defence & Security Products,78,12,20,15,15,5,11,1,True,Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
62,CG-AC95761A01,Knowit Cybersecurity & Law,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Sweden,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
63,CG-27E7AFCF5E,Kratos Defense & Security Solutions,78,12,20,15,15,5,11,1,True,Aerospace / defence / space | Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
64,CG-DAC0E16311,Laverty Cyber,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
65,CG-0E5C59B4DA,M. Hatter Strategic Security,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
66,CG-15818FB487,Meerkat Cyber,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
67,CG-9D09EA8C18,National Security Capital,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
68,CG-E0CBF727B9,Netsecurity,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Norway,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
69,CG-06E7CB9259,Nexer Cybersecurity,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Sweden,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
70,CG-EF569AC6D4,Nord Security,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Lithuania,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
71,CG-4885ED5EE1,NRD Cyber Security,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Lithuania,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
72,CG-B695D410CB,ObjectSecurity,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
73,CG-E8223BC889,Orange Cyberdefense Norway,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Norway,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
74,CG-90E474B793,Orange Cyberdefense Sweden,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Sweden,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
75,CG-1B633C733E,Peak InfoSec,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
76,CG-04D7DCB400,Possible Security,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Latvia,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
77,CG-FF13FAD363,Prism Infosec,78,12,20,15,15,5,11,1,True,Cybersecurity / defence / aerospace / technology / professional services,UK,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
78,CG-379DEB53FE,RMI Security,78,12,20,15,15,5,11,1,True,Defence / security / cyber / aerospace / industrial,Australia,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
79,CG-B9DDDCB992,secunet Security Networks,78,12,20,15,15,5,11,1,True,Cybersecurity vendors / services / digital trust | Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
80,CG-B6BCBB98A5,Security Compass,78,12,20,15,15,5,11,1,True,Technology / IT services / telecom,Canada,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
81,CG-C9DEA1A29A,"Security Media, s.r.o",78,12,20,15,15,5,11,1,True,Defence / security / cyber / aerospace / industrial,Czech Republic,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
82,CG-F8C59539E3,SIA Cyber Circle,78,12,20,15,15,5,11,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Latvia,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
83,CG-341E629621,Silverskin Information Security,78,12,20,15,15,5,11,1,True,Cybersecurity / digital trust / ICT | Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
84,CG-DD22BA2510,SSH Communications Security,78,12,20,15,15,5,11,1,True,Cybersecurity / digital trust / ICT | Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
85,CG-1C7C8FD427,ST Security a.s,78,12,20,15,15,5,11,1,True,Defence / security / cyber / aerospace / industrial,Czech Republic,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
86,CG-977CE366A2,The Intelligence and Security Associates,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
87,CG-5AB1887023,Triad InfoSec,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
