rank,corporate_cluster_id,representative_employer,priority_score,employer_scale_score,cybersecurity_relevance_score,target_geography_score,early_career_probability_score,cluster_record_score,likely_ats_quality_score,legal_discovery_records,primary_scan_eligible,sectors,discovery_geographies,organization_types,score_rationale
12,CG-22FC6FCBDD,Cybernet Systems,80,12,20,15,15,5,13,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
13,CG-0CADC74426,DATAGROUP Defense IT Services,80,12,20,15,15,5,13,1,True,Cybersecurity vendors / services / digital trust | Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
14,CG-ECF8355D1B,Defense Cybersecurity Group,80,12,20,15,15,5,13,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
15,CG-6567D3209E,Demcon defense and security systems,80,12,20,15,15,5,13,1,True,Defence / security / cyber / aerospace / naval / dual-use,Netherlands,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
16,CG-39E42201D0,Maltego Technologies,80,12,20,15,15,5,13,1,True,Cybersecurity vendors / services / digital trust | Defence / security / aerospace / dual-use / digital industry,Germany,Company,"regulated or mature-employer sector; cybersecurity-vendor sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
17,CG-626A564DFC,Modirum Security Technologies,80,12,20,15,15,5,13,1,True,Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
18,CG-0593F30A87,State Security Networks Group,80,12,20,15,15,5,13,1,True,Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
19,CG-2B5AF07632,Texas Tech University Critical Infrastructure Security Institute,80,12,20,15,15,5,13,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
20,CG-47D3689EEB,Watchcom Security Group,80,12,20,15,15,5,13,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Norway,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
21,CG-1EC558A60B,GO,79,12,18,15,15,10,9,2,True,Cybersecurity / technology / finance / gaming | Technology / cyber / fintech / gaming / telecom / critical infrastructure | Telecom / ISP / networking,Europe | Malta,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 2 source record(s); unverified baseline, mature-sector proxy"
22,CG-7E93C5BFB7,Airis Security Technologies,78,12,20,15,13,5,13,1,True,Aerospace / defence / security / space,UK,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
23,CG-8163A0A8F4,123 Cyber,78,12,20,15,15,5,11,1,True,Defence / security / emerging tech | Defence / security / cyber / aerospace / emerging tech,Canada,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
24,CG-2BDBFDC4B9,Achray Cybersecurity,78,12,20,15,15,5,11,1,True,Defence / security / emerging tech | Defence / security / cyber / aerospace / emerging tech,Canada,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
25,CG-C5865635EC,Acropolis Security,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
26,CG-456D989B65,Aegis Infosec Solutions,78,12,20,15,15,5,11,1,True,Defence / security / emerging tech | Defence / security / cyber / aerospace / emerging tech,Canada,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
27,CG-56E19B6470,BeOneSec Cybersecurity Solutions,78,12,20,15,15,5,11,1,True,Defence / security / aerospace / space / cybersecurity,Spain,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
28,CG-E32F5D1B85,Beryllium InfoSec,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
29,CG-8502A24996,BMIT Cybersecurity,78,12,20,15,15,5,11,1,True,Technology / cyber / fintech / gaming / telecom / critical infrastructure,Malta,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
