internal_company_id,internal_company_name,internal_domain,internal_country,external_provider,external_provider_commit,external_ats_family,external_company_name,external_slug,external_url,match_class,match_basis,confidence_reason,verified,verified_at,jrc_support,source_multiplicity
EMP-07190,Material Security,material.security,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Material,material/material_external_career_site,https://material.wd1.myworkdayjobs.com/Material_External_Career_Site,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07191,Menlo Security,menlosecurity.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,ashby,Menlo Security,menlosecurity,https://jobs.ashbyhq.com/menlosecurity,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07191,Menlo Security,menlosecurity.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,Menlosecurity,menlosecurity,https://menlosecurity.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07194,Obsidian Security,obsidiansecurity.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,Obsidian Security,obsidiansecurity,https://job-boards.greenhouse.io/obsidiansecurity,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07194,Obsidian Security,obsidiansecurity.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,jazzhr,obsidiansecurity,obsidiansecurity,https://obsidiansecurity.applytojob.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07195,Orca Security,orca.security,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,ashby,Orca,orca,https://jobs.ashbyhq.com/orca,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07202,Safe Security,safe.security,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,lever,Safe Security,safe,https://jobs.lever.co/safe,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07203,Salt Security,salt.security,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,teamtailor,Salt,salt,https://salt.teamtailor.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07204,SecurityScorecard,securityscorecard.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,securityscorecard,securityscorecard,https://securityscorecard.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07204,SecurityScorecard,securityscorecard.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,securityscorecard,securityscorecard,https://job-boards.greenhouse.io/securityscorecard,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07205,Semgrep,semgrep.dev,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,ashby,Semgrep,semgrep,https://jobs.ashbyhq.com/semgrep,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07207,Sonatype,sonatype.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,lever,Sonatype,sonatype,https://jobs.lever.co/sonatype,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07208,Sysdig,sysdig.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,lever,Sysdig,sysdig,https://jobs.lever.co/sysdig,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07209,Teleport,goteleport.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,ashby,Teleport,goteleport,https://jobs.ashbyhq.com/goteleport,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07210,Torq,torq.io,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,greenhouse,Torq,torq,https://job-boards.greenhouse.io/torq,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07210,Torq,torq.io,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,jazzhr,torq,torq,https://torq.applytojob.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07213,Vectra AI,vectra.ai,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,vectra,vectra,https://vectra.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07216,WatchGuard,watchguard.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,Watchguard,watchguard,https://watchguard.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07216,WatchGuard,watchguard.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,lever,"WatchGuard Technologies, Inc.",watchguard,https://jobs.lever.co/watchguard,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07218,ZeroFox,zerofox.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,Zerofox,zerofox,https://zerofox.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07218,ZeroFox,zerofox.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,smartrecruiters,ZeroFOX,zerofox,https://careers.smartrecruiters.com/zerofox,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
