name,tier,primary_category,dataset_canonical_employer,corporate_cluster_id,portal_status,portal_id,jobs_url,scan_enabled,portal_health,last_successful_scan_at,covered_brands,monitoring_scope
Eni,S,energy_critical_infrastructure,Eni,CG-ED078A55E3,resolved_scannable,367,https://www.eni.com/en-IT/careers/job-opportunities.html,True,UNKNOWN,,,core
Enel,S,energy_critical_infrastructure,Enel,CG-4B7DF26F31,resolved_scannable,366,https://www.enel.com/careers,True,UNKNOWN,,,core
EDF,S,energy_critical_infrastructure,EDF,CG-1013B67428,resolved_scannable,362,https://www.edf.fr/edf-recrute,True,UNKNOWN,,,core
Iberdrola,S,energy_critical_infrastructure,Iberdrola,CG-3F933CDA09,resolved_scannable,394,https://www.iberdrola.com/careers/careers-iberdrola,True,UNKNOWN,,,core
National Grid,S,energy_critical_infrastructure,National Grid,CG-70554C5713,resolved_scannable,172,https://jobs-ats.nationalgrid.com/,True,UNKNOWN,,,core
RWE,S,energy_critical_infrastructure,RWE,CG-3B1466F04E,resolved_scannable,466,https://www.rwe.com/en/rwe-careers-portal/,True,UNKNOWN,,,core
Accenture,S,consulting_security_services,Accenture,CG-4EF5847CA9,resolved_scannable,285,https://www.accenture.com/us-en/careers/jobsearch,True,UNKNOWN,,,core
Capgemini,S,consulting_security_services,Capgemini,CG-9315EAB5A7,resolved_scannable,186,https://jobs.capgemini.com/,True,HEALTHY,2026-08-31 15:01:57.458158,,core
Europol,S,public_international,,,missing_to_resolve,,,False,,,,core
European Commission,S,public_international,,,missing_to_resolve,,,False,,,,core
Deloitte,S,consulting_security_services,Deloitte,CG-51278FFA03,resolved_scannable,9,https://applyglobal.deloitte.com/careers,True,HEALTHY,2026-08-31 09:38:09.212442,,core
EY,S,consulting_security_services,EY Consulting,CG-44B3BCE647,resolved_scannable,52,https://careers.ey.com/,True,HEALTHY,2026-08-31 15:02:21.890343,,core
PwC,S,consulting_security_services,PWC,CG-C3A0759193,resolved_scannable,173,https://jobs-it.pwc.com/it/en/,True,HEALTHY,2026-08-31 09:14:51.827074,,core
KPMG,S,consulting_security_services,KPMG,CG-7187734F76,resolved_scannable,69,https://careers.kpmg.it/,True,HEALTHY,2026-08-31 15:02:23.129793,,core
Reply,S,consulting_security_services,Reply,CG-A5DFD1E2A1,present_unresolved,,,False,,,,core
CGI,S,consulting_security_services,CGI,CG-27B4D0F8EE,resolved_not_scannable,517,https://cgi.njoyn.com/CORP/xweb/xweb.asp?CLID=21001&lang=1&page=JobListing,False,HEALTHY,2026-08-31 14:53:58.831951,,core
DXC Technology,S,consulting_security_services,DXC Technology,CG-7DB4D0352B,resolved_scannable,49,https://careers.dxc.com/,True,HEALTHY,2026-08-31 14:31:22.315764,,core
NTT DATA,S,consulting_security_services,NTT DATA,CG-6FEA5C3CC5,resolved_scannable,442,https://www.nttdata.com/global/en/careers,True,UNKNOWN,,,core
Sopra Steria,S,consulting_security_services,Sopra Steria,CG-218C1E0C1D,resolved_scannable,103,https://careers.soprasteria.com/jobs,True,HEALTHY,2026-08-31 14:31:26.601552,,core
WithSecure,S,cybersecurity_vendor,WithSecure,CG-56ADB43BA5,present_unresolved,,,False,,,,core
F-Secure,S,cybersecurity_vendor,F-Secure,CG-CC6D43CF64,present_unresolved,,,False,,,,core
Armis,S,cybersecurity_vendor,Armis,CG-0644AB85BC,resolved_scannable,301,https://www.armis.com/armis-careers/,True,UNKNOWN,,,core
Claroty,S,cybersecurity_vendor,Claroty,CG-462931D663,resolved_scannable,133,https://claroty.com/careers/,True,HEALTHY,2026-08-31 15:01:54.392715,,core
Trellix,S,cybersecurity_vendor,Trellix,CG-E96EEE84BF,resolved_scannable,535,https://trellix.wd1.myworkdayjobs.com/EnterpriseCareers,True,UNKNOWN,,,core
Gen Digital,S,cybersecurity_vendor,Gen Digital,CG-8AB778057D,present_unresolved,,,False,,,,core
Rabobank,S,finance_payments_markets,Rabobank,CG-F713AA4A9D,resolved_scannable,267,https://rabobank.jobs/en/jobs/,True,HEALTHY,2026-08-31 15:02:00.269779,,core
Commonwealth Bank of Australia,S,finance_payments_markets,Commonwealth Bank of Australia,CG-3337A2EF23,resolved_scannable,345,https://www.commbank.com.au/about-us/careers.html,True,UNKNOWN,,,core
CERN,S,public_international,,,missing_to_resolve,,,False,,,,core
GE Aerospace,S,industrial_technology,GE Aerospace,CG-45EA604F6E,present_unresolved,,,False,,,,core
Rockwell Automation,S,industrial_technology,Rockwell Automation,CG-CDC65D3C16,resolved_scannable,464,https://www.rockwellautomation.com/en-us/company/careers.html,True,UNKNOWN,,,core
Emerson,S,industrial_technology,Emerson,CG-3182B54D9F,resolved_scannable,365,https://www.emerson.com/en/corporate/careers/career-opportunities,True,UNKNOWN,,,core
Johnson Controls,S,industrial_technology,Johnson Controls,CG-2072E6CD8E,resolved_scannable,210,https://jobs.johnsoncontrols.com/,True,HEALTHY,2026-08-31 15:01:58.900688,,core
