name,tier,primary_category,dataset_canonical_employer,corporate_cluster_id,portal_status,portal_id,jobs_url,scan_enabled,portal_health,last_successful_scan_at,covered_brands,monitoring_scope
Bugcrowd,S,cybersecurity_vendor,Bugcrowd,CG-3A88FDD332,resolved_scannable,328,https://www.bugcrowd.com/about/careers/,True,UNKNOWN,,,core
NCC Group,S,cybersecurity_vendor,NCC Group,CG-028F8AB9E2,resolved_scannable,433,https://www.nccgroupplc.com/careers/,True,UNKNOWN,,,core
Recorded Future,S,cybersecurity_vendor,Recorded Future,CG-4EB57340A0,resolved_scannable,457,https://www.recordedfuture.com/work-with-us/jobs,True,UNKNOWN,,,core
ESET,S,cybersecurity_vendor,ESET,CG-49A48FDC2E,resolved_scannable,370,https://www.eset.com/int/about/careers/,True,UNKNOWN,,,core
Bitdefender,S,cybersecurity_vendor,Bitdefender,CG-BA242807A8,resolved_scannable,320,https://www.bitdefender.com/en-us/company/careers,True,UNKNOWN,,,core
American Express,S,finance_payments_markets,American Express,CG-0794FE834D,resolved_scannable,292,https://www.americanexpress.com/en-us/careers/,True,UNKNOWN,,,core
PayPal,S,finance_payments_markets,PayPal,CG-0B4E4886EB,resolved_scannable,514,https://paypal.wd1.myworkdayjobs.com/jobs,True,HEALTHY,2026-08-31 14:31:31.076296,,core
Block,S,finance_payments_markets,Block,CG-0214B4B355,resolved_scannable,15,https://block.xyz/careers/jobs,True,HEALTHY,2026-08-31 09:38:09.433581,,core
Adyen,S,finance_payments_markets,Adyen,CG-852120E028,resolved_scannable,21,https://careers.adyen.com/vacancies,True,HEALTHY,2026-08-31 09:38:09.133680,,core
Wise,S,finance_payments_markets,Wise,CG-CB129D1D3B,resolved_scannable,282,https://wise.jobs/jobs,True,HEALTHY,2026-08-31 15:02:00.775960,,core
Revolut,S,finance_payments_markets,Revolut,CG-10A23080E5,resolved_scannable,460,https://www.revolut.com/careers/,True,UNKNOWN,,,core
Nasdaq,S,finance_payments_markets,Nasdaq,CG-61C1A187B4,resolved_scannable,431,https://www.nasdaq.com/about/careers,True,UNKNOWN,,,core
London Stock Exchange Group,S,finance_payments_markets,London Stock Exchange Group,CG-F2CF1CA3CD,resolved_scannable,416,https://www.lseg.com/en/careers,True,UNKNOWN,,,core
Deutsche Börse,S,finance_payments_markets,Deutsche Börse,CG-F0421B49FD,resolved_scannable,47,https://careers.deutsche-boerse.com/,True,HEALTHY,2026-08-31 14:31:23.474308,,core
CME Group,S,finance_payments_markets,CME Group,CG-EAE50268EB,resolved_scannable,342,https://www.cmegroup.com/careers.html,True,UNKNOWN,,,core
Intercontinental Exchange,S,finance_payments_markets,Intercontinental Exchange,CG-DF03A33805,resolved_scannable,64,https://careers.ice.com/,True,HEALTHY,2026-08-31 14:31:28.903883,,core
Euronext,S,finance_payments_markets,Euronext,CG-9E81863C6B,resolved_scannable,371,https://www.euronext.com/en/about/careers/open-positions,True,UNKNOWN,,,core
SWIFT,S,finance_payments_markets,Swift,CG-49DAB5697B,present_unresolved,,,False,,,,core
ING,S,finance_payments_markets,ING,CG-D6D989ED83,resolved_scannable,66,https://careers.ing.com/search-jobs,True,HEALTHY,2026-08-31 14:31:28.141545,,core
Santander,S,finance_payments_markets,Santander,CG-263594BA73,resolved_scannable,471,https://www.santander.com/en/careers,True,UNKNOWN,,,core
BBVA,S,finance_payments_markets,BBVA,CG-02CD9140F4,resolved_scannable,32,https://careers.bbva.com/,True,HEALTHY,2026-08-31 09:38:10.631182,,core
BNP Paribas,S,finance_payments_markets,BNP Paribas,CG-FF07ED39BF,resolved_not_scannable,150,https://group.bnpparibas/en/careers,False,DEGRADED,,,core
Société Générale,S,finance_payments_markets,Société Générale,CG-EA38E6216E,resolved_scannable,102,https://careers.societegenerale.com/en/search,True,HEALTHY,2026-08-31 14:31:27.138167,,core
Crédit Agricole,S,finance_payments_markets,Crédit Agricole,CG-AC5E6D08CF,resolved_scannable,350,https://www.credit-agricole.com/en/candidate,True,UNKNOWN,,,core
UniCredit,S,finance_payments_markets,UniCredit,CG-456F45FA17,resolved_scannable,500,https://www.unicreditgroup.eu/en/careers.html,True,UNKNOWN,,,core
Intesa Sanpaolo,S,finance_payments_markets,Intesa Sanpaolo,CG-2257193AF6,resolved_scannable,208,https://jobs.intesasanpaolo.com/,True,UNKNOWN,,,core
